,artist,song_id,genre
272,Shawn Mendes,"[677, 678, 679, 680]",indie
273,Sheryl Crow,[681],pop
274,Shontelle,[682],pop
275,Sia,[683],jazz
276,Side A,[684],blues
277,Simon & Garfunkel,"[685, 686, 687, 688, 689]",pop
278,Simple Plan,"[690, 691]",rock 
279,Sixpence None the Richer,[692],rock 
280,Slayer,[693],rock 
281,Slipknot,"[694, 695]",rock 
282,Smash Mouth,[696],rock 
283,Snow Patrol,"[697, 698]",pop
284,Soul Asylum,[699],pop
285,Stephen Speaks,[700],dance
286,Sting,[701],rock 
287,Sublime,"[702, 703]",pop
288,Sum 41,[704],rock 
289,Sungha Jung,[705],blues
290,System of a Down,"[706, 707, 708, 709, 710]",rock 
291,Taio Cruz,[711],pop
292,Tamia,[712],jazz
293,Taylor Swift,"[713, 714, 715, 716, 717, 718, 719, 720, 721, 722, 723, 724, 725, 726, 727, 728, 729, 730, 731, 732, 733, 734, 735, 736, 737, 738, 739]",pop
294,Tenacious D,"[740, 741]",rock 
295,The Animals,"[742, 743, 744]",acoustic
296,The Band,[745],blues
297,The Band Perry,"[746, 747]",jazz
298,The Beatles,"[748, 749, 750, 751, 752, 753, 754, 755, 756, 757, 758, 759, 760, 761, 762, 763, 764, 765, 766, 767, 768, 769, 770, 771, 772, 773]",pop
299,The Calling,[774],alternative
300,The Chainsmokers,"[775, 776]",pop
301,The Cranberries,"[777, 778]",rock 
302,The Cure,[779],rock 
303,The Fray,"[780, 781]",pop
304,The Killers,[782],alternative
305,The Kooks,[783],indie
306,The Lumineers,[784],indie
307,The Neighbourhood,[785],alternative
308,The Police,[786],rock 
309,The Red Jumpsuit Apparatus,"[787, 788]",rock
310,The Righteous Brothers,[789],rock
311,The Rolling Stones,"[790, 791, 792]",rock
312,The Script,"[793, 794, 795]",pop
313,The Smiths,[796],rock
314,The White Stripes,"[797, 798]",rock 
315,Third Eye Blind,[799],rock
316,This Band,[800],indie
317,Three Days Grace,[801],rock 
318,Tom Odell,[802],jazz
319,Tom Petty,"[803, 804]",blues
320,Tones And I,[805],rock
321,Toto,[806],pop
322,Tracy Chapman,"[807, 808, 809]",blues
323,Train,"[810, 811, 812, 813]",rock
324,Travie McCoy,[814],pop
325,U2,"[818, 819]",rock 
326,Up Dharma Down,[820],acoustic
327,Van Morrison,"[821, 822]",rock 
328,Vance Joy,"[823, 824, 825]",acoustic
329,Virgoun,[826],blues
330,Weezer,"[827, 828]",rock 
331,Westlife,"[829, 830]",pop
332,Wham!,[831],rock 
333,Wheatus,[832],rock 
334,Wiz Khalifa,"[833, 834]",rap
335,Yes,"[835, 836]",rock
336,Young MC,[837],rap
337,ZZ Top,"[838, 839, 840, 841, 842, 843, 844, 845, 846, 847, 848, 849, 850]",rock 
338,a-ha,[33],pop
339,kahitna,[405],pop
340,near (Indonesia),[543],rock
341,twenty one pilots,"[815, 816, 817]",rap
